Date,BRFS3
2025-04-01,20.139999389648438
2025-04-02,19.799999237060547
2025-04-03,19.639999389648438
2025-04-04,19.25
2025-04-07,19.200000762939453
2025-04-08,19.059999465942383
2025-04-09,20.559999465942383
2025-04-10,20.350000381469727
2025-04-11,20.540000915527344
2025-04-14,20.40999984741211
2025-04-15,20.670000076293945
2025-04-16,20.68000030517578
2025-04-17,21.149999618530273
2025-04-22,21.780000686645508
2025-04-23,21.489999771118164
2025-04-24,22.010000228881836
2025-04-25,22.899999618530273
2025-04-28,22.700000762939453
2025-04-29,22.75
2025-04-30,22.700000762939453
2025-05-02,22.459999084472656
2025-05-05,21.440000534057617
2025-05-06,20.350000381469727
2025-05-07,20.260000228881836
2025-05-08,20.389999389648438
2025-05-09,19.200000762939453
2025-05-12,19.709999084472656
2025-05-13,20.200000762939453
2025-05-14,19.68000030517578
2025-05-15,20.6200008392334
2025-05-16,20.780000686645508
2025-05-19,20.5
2025-05-20,21.0
2025-05-21,21.040000915527344
2025-05-22,21.420000076293945
2025-05-23,21.420000076293945
2025-05-26,21.309999465942383
2025-05-27,20.559999465942383
2025-05-28,20.389999389648438
2025-05-29,20.559999465942383
2025-05-30,20.299999237060547
2025-06-02,20.5
2025-06-03,20.5
2025-06-04,20.5
2025-06-05,20.5
2025-06-06,20.520000457763672
2025-06-09,21.0
2025-06-10,21.510000228881836
2025-06-11,21.360000610351562
2025-06-12,20.690000534057617
2025-06-13,21.0
2025-06-16,20.5
2025-06-17,20.489999771118164
2025-06-18,20.920000076293945
2025-06-20,20.790000915527344
2025-06-23,21.760000228881836
2025-06-24,20.75
2025-06-25,20.010000228881836
2025-06-26,20.100000381469727
2025-06-27,19.899999618530273
