Date,ELET6
2025-04-01,42.489356994628906
2025-04-02,42.43191146850586
2025-04-03,42.89146423339844
2025-04-04,42.125545501708984
2025-04-07,41.95321273803711
2025-04-08,41.991512298583984
2025-04-09,42.72870635986328
2025-04-10,43.20740509033203
2025-04-11,42.92975997924805
2025-04-14,43.61908721923828
2025-04-15,43.33186721801758
2025-04-16,42.470211029052734
2025-04-17,43.65738296508789
2025-04-22,43.44675827026367
2025-04-23,44.08821487426758
2025-04-24,45.371124267578125
2025-04-25,45.179649353027344
2025-04-28,45.39027786254883
2025-04-29,45.620052337646484
2025-04-30,46.283199310302734
2025-05-02,46.033695220947266
2025-05-05,45.285179138183594
2025-05-06,45.34275817871094
2025-05-07,45.07406234741211
2025-05-08,45.65943908691406
2025-05-09,45.97611618041992
2025-05-12,45.60186004638672
2025-05-13,45.88015365600586
2025-05-14,45.707420349121094
2025-05-15,44.27756118774414
2025-05-16,44.47908401489258
2025-05-19,44.94930648803711
2025-05-20,44.74778366088867
2025-05-21,44.30635070800781
2025-05-22,44.27756118774414
2025-05-23,44.651817321777344
2025-05-26,44.776573181152344
2025-05-27,45.27558517456055
2025-05-28,44.7957649230957
2025-05-29,45.42912292480469
2025-05-30,45.07406234741211
2025-06-02,44.718994140625
2025-06-03,44.90132522583008
2025-06-04,44.62303161621094
2025-06-05,44.28715896606445
2025-06-06,44.28715896606445
2025-06-09,43.855323791503906
2025-06-10,44.459896087646484
2025-06-11,44.22957992553711
2025-06-12,44.22957992553711
2025-06-13,43.845726013183594
2025-06-16,44.565452575683594
2025-06-17,44.296756744384766
2025-06-18,43.28913879394531
2025-06-20,42.31990432739258
2025-06-23,42.62698745727539
2025-06-24,42.665374755859375
2025-06-25,42.089595794677734
2025-06-26,42.21434783935547
2025-06-27,42.11838150024414
