Date,LWSA3
2025-04-01,2.6755213737487793
2025-04-02,2.6755213737487793
2025-04-03,2.6952667236328125
2025-04-04,2.547175168991089
2025-04-07,2.5866661071777344
2025-04-08,2.655775785446167
2025-04-09,2.8038671016693115
2025-04-10,2.932213306427002
2025-04-11,2.902595043182373
2025-04-14,2.9519588947296143
2025-04-15,2.981577157974243
2025-04-16,2.9914498329162598
2025-04-17,3.455470323562622
2025-04-22,3.4752156734466553
2025-04-23,3.6627984046936035
2025-04-24,3.7417805194854736
2025-04-25,3.840508460998535
2025-04-28,3.7121622562408447
2025-04-29,3.623307466506958
2025-04-30,3.564070701599121
2025-05-02,3.5541977882385254
2025-05-05,3.4653429985046387
2025-05-06,3.455470323562622
2025-05-07,3.406106472015381
2025-05-08,3.5245795249938965
2025-05-09,3.485088586807251
2025-05-12,3.2975058555603027
2025-05-13,3.5541977882385254
2025-05-14,3.564070701599121
2025-05-15,3.6134347915649414
2025-05-16,3.6430530548095703
2025-05-19,3.6430530548095703
2025-05-20,3.791144371032715
2025-05-21,3.7220351696014404
2025-05-22,3.8010170459747314
2025-05-23,3.7713987827301025
2025-05-26,3.8010170459747314
2025-05-27,3.8010170459747314
2025-05-28,3.731907844543457
2025-05-29,3.6627984046936035
2025-05-30,3.7121622562408447
2025-06-02,3.6924166679382324
2025-06-03,3.8898723125457764
2025-06-04,4.087327480316162
2025-06-05,3.870126724243164
2025-06-06,3.8799993991851807
2025-06-09,3.8207626342773438
2025-06-10,4.067582130432129
2025-06-11,4.077455043792725
2025-06-12,4.077455043792725
2025-06-13,4.028090953826904
2025-06-16,4.14656400680542
2025-06-17,4.087327480316162
2025-06-18,4.097200393676758
2025-06-20,4.077455043792725
2025-06-23,4.028090953826904
2025-06-24,4.077455043792725
2025-06-25,3.9984729290008545
2025-06-26,4.097200393676758
2025-06-27,4.008345603942871
