Date,RENT3
2025-04-01,34.66183853149414
2025-04-02,35.99498748779297
2025-04-03,36.77512741088867
2025-04-04,35.649356842041016
2025-04-07,35.362979888916016
2025-04-08,35.25435256958008
2025-04-09,36.50849914550781
2025-04-10,36.93313217163086
2025-04-11,38.088523864746094
2025-04-14,38.7699089050293
2025-04-15,38.908164978027344
2025-04-16,38.26627731323242
2025-04-17,39.74755096435547
2025-04-22,38.661285400390625
2025-04-23,39.856178283691406
2025-04-24,41.0806999206543
2025-04-25,42.275596618652344
2025-04-28,42.52247619628906
2025-04-29,42.64097595214844
2025-04-30,42.42372131347656
2025-05-02,42.561973571777344
2025-05-05,42.52247619628906
2025-05-06,41.4757080078125
2025-05-07,41.56458282470703
2025-05-08,43.35198974609375
2025-05-09,40.488189697265625
2025-05-12,40.98194885253906
2025-05-13,41.21895217895508
2025-05-14,39.214290618896484
2025-05-15,40.241310119628906
2025-05-16,41.31770324707031
2025-05-19,41.57445526123047
2025-05-20,41.17945098876953
2025-05-21,39.856178283691406
2025-05-22,40.05368423461914
2025-05-23,40.083309173583984
2025-05-26,40.34006118774414
2025-05-27,42.11759567260742
2025-05-28,42.77922821044922
2025-05-29,42.897727966308594
2025-05-30,42.42372131347656
2025-06-02,42.76935577392578
2025-06-03,42.58172607421875
2025-06-04,43.15448760986328
2025-06-05,43.64824295043945
2025-06-06,43.25323486328125
2025-06-09,43.11498260498047
2025-06-10,43.44086837768555
2025-06-11,43.450740814208984
2025-06-12,43.904998779296875
2025-06-13,43.470489501953125
2025-06-16,44.428382873535156
2025-06-17,44.04324722290039
2025-06-18,44.31975555419922
2025-06-20,42.719974517822266
2025-06-23,41.88058853149414
2025-06-24,42.966854095458984
2025-06-25,42.611351013183594
2025-06-26,39.51054763793945
2025-06-27,40.04380798339844
